Reference No,title,Duration,Instructors
[' CRS-Q-0037062-ICT '],NICF- Service Design  (SF),[' 3 days '],"['Ms. LIM Wee Khee ', 'Mr. Brian NG', 'Mr. Joshua TEO', 'Mr. Reuben PNG', 'Ms. Tamsin Emma Maria GREULICH-SMITH', 'Ms. Vivien CHAN']"
[' CRS-Q-0036473-ICT '],NICF- Secure Software Development Lifecycle for Agile  (SF),[' 3 days '],"['Mr. CHIA Yuen Kwan ', 'Mr. Charles YANG']"
[' CRS-Q-0034795-ICT '],NICF- Statistics for Business  (SF),[' 3 days '],"['Mr. Charles PANG ', 'Mr. Dave HUFTON', 'Mr. Neumann CHEW', 'Mr. Rajnish TULI']"
[],,[],[]
[' CRS-Q-0034780-ICT '],NICF- Cyber Security for ICT Professionals  (SF),[' 3 days '],['Ms. Angela HUANG ']
[' CRS-Q-0036100-ICT '],NICF- Introduction to Blockchain & DLT for Executives  (SF),[' 1 day '],['Mr. Eric THAM ']
[' CRS-Q-0034785-ICT '],NICF- Data Storytelling  (SF),[' 3 days '],"['Mr. Brandon NG ', 'Ms. Catherine KHAW', 'Dr. Kate LAZARENKO', 'Mr. Nirmal Raja PALAPARTHI', 'Mr. Prakash Chandra SUKHWAL', 'Mr. Rajnish TULI', 'Ms. Tamsin Emma Maria GREULICH-SMITH', 'Dr. TAN Jen Hong']"
[],"Institute of Systems Science, NUS",[],[]
[],"Institute of Systems Science, NUS",[],[]
[' CRS-Q-0034788-ICT '],NICF - Lean IT Foundation Certification  (SF),[' 3 days '],['Mr. Chandrasekaran PARAMASIVAM ']
[' CRS-Q-0036472-ICT '],NICF- Design Secure Mobile Architecture  (SF),[' 3 days '],"['Mr. HENG Boon Kui ', 'Mr. Charles YANG']"
[' CRS-Q-0035469-ICT '],NICF- DevOps Foundation with BizOps  (SF),[' 3 days '],['Mr. Jamie Donoghue']
[' CRS-Q-0036526-ICT '],NICF- ITIL Foundation Certificate in IT Service Management  (SF),[' 3 days '],"['Mr. Harold Petersen', 'Mr. Jamie Donoghue', 'Mr. Krist YONG']"
